Cow No.,Cow Name,Group No.,Previous Group No.,Group Change Date,Days Since Group Change,Sex,Days In Pregnancy,Insem Date,Breed,Transp. No.,No. of Lact.,Days In Milk,Cull flagged,Birth Date,Age Years,Age Months,Age Days,Group No.,Breeding Status,Breeding State (Code),Preg Check Date,Tot. Milk Yest.,Yield This Week ,Milk Last Month,Milk This Month,Monthly Milk Jan,Monthly Milk Feb,Monthly Milk Mar,Monthly Milk April,Monthly Milk May,Monthly Milk June,Monthly Milk July,Monthly Milk Aug,Monthly Milk Sept,Monthly Milk Oct,Monthly Milk Nov,Monthly Milk Dec,Breeding State,Pregnant,Preg. Check Count,Preg Check Date,Abortion Date,Calving Interval,Number Calf 1,Number Calf 2,Sex Calf 1,Sex Calf 2,Days Since Calving,Last Calving Month,Calved Date,Delivery
874,-,11,10,22.08.10,2,Female,0,-,Holstein,3972,1,53,-,20.04.12,2.3,28,852,11,Fresh,1,-,39,226.5,982,414,0,0,0,0,0,210,982,414,0,0,0,0,Inseminate,-,0,-,-,-,13209,-,Male,-,53,Jun,22.06.20,-
875,-,13,12,22.08.06,6,Female,0,22.08.08,Holstein,19,1,164,-,20.04.16,2.3,27.9,848,13,Bred,1,-,27,165.5,884,319,0,0,897,1129,1182,947,884,319,0,0,0,0,Inseminate,-,0,-,-,437,12901,-,Male,-,164,Mar,22.03.01,Normal
876,-,192,190,22.03.08,157,Female,0,21.06.08,Holstein,-,0,-,Yes,20.04.16,2.3,27.9,848,192,"Cull, Not Pregnant",1,21.09.11,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inseminate,-,0,21.09.11,22.03.08,-,-,-,-,-,0,-,-,-
877,-,13,12,22.08.10,2,Female,101,22.05.03,Holstein,6584,1,152,-,20.04.18,2.3,27.8,846,13,Pregnant,4,22.08.01,26.3,179.7,982,333,0,0,409,980,1053,992,982,333,0,0,0,0,Conf. Dry Off,Yes,2,22.08.01,-,328,2659,-,Female,-,152,Mar,22.03.13,Easy
878,-,192,190,22.03.08,157,Female,0,21.06.10,Holstein,-,0,-,Yes,20.04.18,2.3,27.8,846,192,"Cull, Not Pregnant",1,21.09.11,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inseminate,-,0,21.09.11,22.03.08,-,-,-,-,-,0,-,-,-
879,-,13,12,22.08.10,2,Female,0,22.06.12,Holstein,1404,1,145,-,20.04.18,2.3,27.8,846,13,Pregnant (1st Preg Check),3,22.07.23,32.6,190,974,352,0,0,283,858,1000,953,974,352,0,0,0,0,2nd Pregn. Check,-,1,22.07.23,-,361,2676,-,Female,-,145,Mar,22.03.20,-
880,-,12,11,22.08.06,6,Female,0,22.08.01,Holstein,108,1,132,-,20.04.19,2.3,27.8,845,12,Bred,1,-,34.1,192.7,1033,358,0,0,0,832,1042,1065,1033,358,0,0,0,0,Inseminate,-,0,-,-,398,2705,-,Female,-,132,Apr,22.04.02,Easy
881,-,12,11,22.07.13,30,Female,0,22.07.27,Holstein,4333,1,137,-,20.04.19,2.3,27.8,845,12,Bred,1,-,24.8,150.5,833,281,0,0,17,590,787,842,833,281,0,0,0,0,Inseminate,-,0,-,-,398,2695,-,Female,-,137,Mar,22.03.28,Easy
882,-,13,12,22.08.10,2,Female,0,22.05.18,Holstein,3353,1,146,-,20.04.20,2.3,27.7,844,13,Pregnant (1st Preg Check),3,22.07.04,31.9,199.4,1036,368,0,0,245,877,1012,1003,1036,368,0,0,0,0,2nd Pregn. Check,-,1,22.07.04,-,337,2671,-,Female,-,146,Mar,22.03.19,-
883,-,13,12,22.08.10,2,Female,0,22.07.29,Holstein,10698,1,153,-,20.04.21,2.3,27.7,843,13,Bred,1,22.07.29,38.2,217.9,1195,395,0,0,608,1205,1248,1187,1195,395,0,0,0,0,Inseminate,-,0,22.07.29,-,416,2656,-,Female,-,153,Mar,22.03.12,-
884,-,3,1,22.08.08,4,Female,0,22.06.01,Holstein,3504,1,137,-,20.04.21,2.3,27.7,843,3,Pregnant (1st Preg Check),3,22.07.14,34.8,185.6,907,341,0,0,93,971,1111,1093,907,341,0,0,0,0,2nd Pregn. Check,-,1,22.07.14,-,342,12965,-,Male,-,137,Mar,22.03.28,-
885,-,12,11,22.07.13,30,Female,0,22.06.22,Holstein,1448,1,139,-,20.04.21,2.3,27.7,843,12,Pregnant (1st Preg Check),3,22.07.30,29.3,169.7,916,321,0,0,104,868,940,895,916,321,0,0,0,0,2nd Pregn. Check,-,1,22.07.30,-,365,12958,-,Male,-,139,Mar,22.03.26,-
886,-,192,190,22.03.08,157,Female,0,21.06.09,Holstein,-,0,-,Yes,20.04.21,2.3,27.7,843,192,"Cull, Not Pregnant",1,21.09.11,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inseminate,-,0,21.09.11,22.03.08,-,-,-,-,-,0,-,-,-
887,-,13,12,22.08.06,6,Female,0,22.08.03,Holstein,7365,1,163,-,20.04.21,2.3,27.7,843,13,Bred,1,22.07.11,35.3,205.4,1077,379,0,0,782,1028,1037,999,1077,379,0,0,0,0,Inseminate,-,0,22.07.11,-,431,12903,-,Male,-,163,Mar,22.03.02,Easy
888,-,12,11,22.08.06,6,Female,0,22.07.13,Holstein,1807,1,118,-,20.04.21,2.3,27.7,843,12,Bred,1,-,42.5,245.9,1304,452,0,0,0,448,1253,1247,1304,452,0,0,0,0,Inseminate,-,0,-,-,365,13027,-,Male,-,118,Apr,22.04.16,-
889,-,13,12,22.08.10,2,Female,99,22.05.05,Holstein,3047,1,146,-,20.04.21,2.3,27.7,843,13,Pregnant,4,22.08.01,33,187.6,1022,351,0,0,308,1001,1049,1055,1022,351,0,0,0,0,Conf. Dry Off,Yes,2,22.08.01,-,324,2672,-,Female,-,146,Mar,22.03.19,-
890,-,13,12,22.08.10,2,Female,0,22.06.15,Holstein,1352,1,152,-,20.04.21,2.3,27.7,843,13,Pregnant (1st Preg Check),3,22.08.11,34.6,214.8,1099,395,0,0,415,997,1088,1060,1099,395,0,0,0,0,2nd Pregn. Check,-,0,22.08.11,-,371,12928,-,Male,-,152,Mar,22.03.13,Easy
891,-,13,12,22.08.10,2,Female,0,22.05.18,Holstein,10401,1,139,-,20.04.23,2.3,27.6,841,13,Open,1,22.07.04,27.2,164.9,846,303,0,0,80,876,940,883,846,303,0,0,0,0,Inseminate,-,0,22.07.04,-,330,-,-,-,-,139,Mar,22.03.26,Hard
892,-,192,85,22.03.09,156,Female,0,21.06.09,Holstein,-,0,-,Yes,20.04.23,2.3,27.6,841,192,"Cull, Not Pregnant",1,22.03.09,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inseminate,-,0,22.03.09,-,-,-,-,-,-,0,-,-,-
893,-,13,12,22.08.10,2,Female,0,22.07.13,Holstein,1909,1,155,-,20.04.23,2.3,27.6,841,13,Bred,1,-,30.6,190.8,981,342,0,0,531,986,1033,913,981,342,0,0,0,0,Inseminate,-,0,-,-,402,12945,-,Male,-,155,Mar,22.03.10,Hard
895,-,13,12,22.08.10,2,Female,0,22.08.03,Holstein,10782,1,150,-,20.04.24,2.3,27.6,840,13,Bred,1,-,28.4,167.5,878,318,0,0,324,873,914,861,878,318,0,0,0,0,Inseminate,-,0,-,-,418,2662,-,Female,-,150,Mar,22.03.15,-
896,-,192,190,22.03.08,157,Female,0,21.06.16,Holstein,-,0,-,Yes,20.04.24,2.3,27.6,840,192,"Cull, Not Pregnant",1,21.09.11,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inseminate,-,0,21.09.11,22.03.08,-,-,-,-,-,0,-,-,-
898,-,13,12,22.08.10,2,Female,0,22.06.01,Holstein,3226,1,141,-,20.04.24,2.3,27.6,840,13,Pregnant (1st Preg Check),3,22.07.14,31.9,189,944,342,0,0,138,843,946,962,944,342,0,0,0,0,2nd Pregn. Check,-,1,22.07.14,-,346,12954,-,Male,-,141,Mar,22.03.24,Easy
899,-,11,10,22.07.13,30,Female,0,22.07.17,Holstein,6061,1,88,-,20.04.25,2.3,27.6,839,11,Bred,1,-,37.2,215.5,1132,393,0,0,0,0,388,997,1132,393,0,0,0,0,Inseminate,-,0,-,-,339,13108,-,Male,-,88,May,22.05.16,Easy
900,-,12,11,22.08.06,6,Female,0,22.07.06,Holstein,9095,1,125,-,20.04.25,2.3,27.6,839,12,Bred,2,-,36.8,214,1107,386,0,0,0,612,1063,1108,1107,386,0,0,0,0,Pregn. Check,-,0,-,-,365,2720,-,Female,-,125,Apr,22.04.09,-
901,-,13,12,22.08.10,2,Female,0,22.06.15,Holstein,7397,1,145,-,20.03.31,2.4,28.4,864,13,Pregnant (1st Preg Check),3,22.07.23,34.5,214.5,1125,393,0,0,320,1139,1220,1109,1125,393,0,0,0,0,2nd Pregn. Check,-,1,22.07.23,-,364,2679,-,Female,-,145,Mar,22.03.20,Easy
902,-,11,10,22.07.13,30,Female,0,22.08.03,Holstein,14551,1,95,-,20.04.25,2.3,27.6,839,11,Bred,1,-,35.4,205.8,1116,385,0,0,0,0,564,1013,1116,385,0,0,0,0,Inseminate,-,0,-,-,363,13097,-,Male,-,95,May,22.05.09,Hard
903,-,12,11,22.08.10,2,Female,0,22.06.23,Holstein,9130,1,115,-,20.04.25,2.3,27.6,839,12,Open,1,22.07.30,38.7,224.8,1181,423,0,0,0,254,1097,1227,1181,423,0,0,0,0,Inseminate,-,0,22.07.30,-,342,2755,-,Female,-,115,Apr,22.04.19,Easy
904,-,12,11,22.07.13,30,Female,0,22.05.23,Holstein,10313,1,137,-,20.04.26,2.3,27.5,838,12,Pregnant (1st Preg Check),3,22.07.11,34.4,198.3,1073,369,0,0,71,913,1057,1073,1073,369,0,0,0,0,2nd Pregn. Check,-,1,22.07.11,-,333,2693,-,Female,-,137,Mar,22.03.28,-
905,-,12,11,22.08.10,2,Female,0,22.06.24,Holstein,4717,1,111,-,20.04.26,2.3,27.5,838,12,Pregnant (1st Preg Check),3,22.07.30,27.7,163.4,873,303,0,0,0,103,756,856,873,303,0,0,0,0,2nd Pregn. Check,-,1,22.07.30,-,339,2766,-,Female,-,111,Apr,22.04.23,Easy
906,-,12,11,22.08.06,6,Female,0,22.07.30,Holstein,3510,1,130,-,20.04.27,2.3,27.5,837,12,Bred,1,-,31.6,184.2,913,339,0,0,0,518,814,856,913,339,0,0,0,0,Inseminate,-,0,-,-,394,2709,-,Female,-,130,Apr,22.04.04,Easy
907,-,90,110,22.08.07,5,Female,0,21.12.23,Holstein,-,0,-,-,20.04.27,2.3,27.5,837,90,Aborted,1,22.03.15,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inseminate,-,0,22.03.15,22.08.06,-,-,-,-,-,0,-,-,-
908,-,13,12,22.08.10,2,Female,0,22.07.21,Holstein,240,1,145,-,20.04.28,2.3,27.5,836,13,Bred,1,22.06.18,31,195,1017,360,0,0,243,934,1041,994,1017,360,0,0,0,0,Inseminate,-,0,22.06.18,-,400,2680,-,Female,-,145,Mar,22.03.20,Easy
909,-,85,110,22.08.08,4,Female,229,21.12.26,Holstein,-,0,-,-,20.04.30,2.3,27.4,834,85,Pregnant,5,22.03.21,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conf. Step  Up,Yes,2,22.03.21,21.12.26,-,-,-,-,-,0,-,-,-
911,-,13,12,22.08.10,2,Female,0,22.06.05,Holstein,6659,1,156,-,20.04.30,2.3,27.4,834,13,Pregnant (1st Preg Check),3,22.07.14,31.9,198.5,1062,369,0,0,649,1110,1107,1044,1062,369,0,0,0,0,2nd Pregn. Check,-,1,22.07.14,-,365,2652,-,Female,-,156,Mar,22.03.09,Easy
912,-,13,12,22.08.10,2,Female,100,22.05.04,Holstein,6248,1,150,-,20.05.01,2.3,27.4,833,13,Pregnant,4,22.08.01,34.7,211.1,1097,383,0,0,395,915,1053,1097,1097,383,0,0,0,0,Conf. Dry Off,Yes,2,22.08.01,-,327,2661,-,Female,-,150,Mar,22.03.15,-
913,-,12,11,22.08.06,6,Female,0,22.07.06,Holstein,10683,1,127,-,20.05.01,2.3,27.4,833,12,Open,1,22.08.11,35.6,207.1,1242,405,0,0,0,771,1271,1276,1242,405,0,0,0,0,Inseminate,-,0,22.08.11,-,367,13006,-,Male,-,127,Apr,22.04.07,Easy
914,-,11,10,22.08.06,6,Female,0,22.08.03,Holstein,6650,1,68,-,20.05.01,2.3,27.4,833,11,Bred,1,-,33.7,202.1,1005,371,0,0,0,0,0,640,1005,371,0,0,0,0,Inseminate,-,0,-,-,336,2848,-,Female,-,68,Jun,22.06.05,Easy
915,-,13,12,22.08.10,2,Female,0,22.06.01,Holstein,6535,1,139,-,20.05.02,2.3,27.3,832,13,Open,1,22.07.21,37.8,212.8,1207,411,0,0,123,825,1221,1167,1207,411,0,0,0,0,Inseminate,-,0,22.07.21,-,344,12960,-,Male,-,139,Mar,22.03.26,-
916,-,10,20,22.07.30,13,Female,0,-,Holstein,7590,1,36,-,20.05.02,2.3,27.3,832,10,Fresh,0,-,46,272.7,805,493,0,0,0,0,0,0,805,493,0,0,0,0,Report Heat,-,0,-,-,-,2923,-,Female,-,36,Jul,22.07.07,Easy
917,-,12,11,22.07.13,30,Female,0,22.05.24,Holstein,6173,1,137,-,20.05.04,2.3,27.3,830,12,Pregnant (1st Preg Check),3,22.07.11,31.7,195.9,982,358,0,0,44,797,918,954,982,358,0,0,0,0,2nd Pregn. Check,-,1,22.07.11,-,334,12971,-,Male,-,137,Mar,22.03.28,Easy
918,-,12,11,22.08.06,6,Female,0,22.07.06,Holstein,4828,1,125,-,20.05.04,2.3,27.3,830,12,Bred,2,-,34.6,201.7,1148,381,0,0,0,549,1061,1068,1148,381,0,0,0,0,Pregn. Check,-,0,-,-,365,13012,-,Male,-,125,Apr,22.04.09,Easy
919,-,12,11,22.08.06,6,Female,0,22.07.21,Holstein,5628,1,129,-,20.05.04,2.3,27.3,830,12,Bred,1,-,29.7,181.1,925,334,0,0,0,501,826,863,925,334,0,0,0,0,Inseminate,-,0,-,-,384,12998,-,Male,-,129,Apr,22.04.05,Hard
920,-,12,11,22.08.06,6,Female,0,22.06.08,Holstein,7867,1,130,-,20.05.05,2.3,27.2,829,12,Pregnant (1st Preg Check),3,22.07.14,33.3,193.7,1057,368,0,0,0,552,933,1014,1057,368,0,0,0,0,2nd Pregn. Check,-,1,22.07.14,-,342,12995,-,Male,-,130,Apr,22.04.04,Easy
921,-,13,12,22.08.10,2,Female,0,22.07.18,Holstein,11259,1,145,-,20.05.05,2.3,27.2,829,13,Bred,1,-,32.3,191.5,1057,358,0,0,272,972,1071,1057,1057,358,0,0,0,0,Inseminate,-,0,-,-,397,2675,-,Female,-,145,Mar,22.03.20,-
922,-,199,190,22.03.31,134,Female,0,21.07.29,Holstein,-,0,-,Yes,20.05.05,2.3,27.2,829,199,"Cull, Not Pregnant",1,21.10.22,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inseminate,-,0,21.10.22,22.03.20,-,-,-,-,-,0,-,-,-
923,-,13,12,22.08.10,2,Female,0,22.05.31,Holstein,14798,1,145,-,20.05.05,2.3,27.2,829,13,Pregnant (1st Preg Check),3,22.07.14,35.1,214.2,1082,377,0,0,235,1036,1127,1094,1082,377,0,0,0,0,2nd Pregn. Check,-,1,22.07.14,-,349,12944,-,Male,-,145,Mar,22.03.20,-
924,-,12,11,22.08.10,2,Female,0,22.08.11,Holstein,7180,1,113,-,20.05.06,2.3,27.2,828,12,Bred,1,-,32.3,182.3,936,338,0,0,0,205,945,883,936,338,0,0,0,0,Inseminate,-,0,-,-,389,13045,-,Male,-,113,Apr,22.04.21,-
925,-,11,10,22.08.06,6,Female,0,-,Holstein,1785,1,73,-,20.05.06,2.3,27.2,828,11,Fresh,1,-,31.8,183.9,1039,327,0,0,0,0,3,882,1039,327,0,0,0,0,Inseminate,-,0,-,-,-,2836,-,Female,-,73,May,22.05.31,-
926,-,13,12,22.08.10,2,Female,0,22.06.01,Holstein,5641,1,157,-,20.05.06,2.3,27.2,828,13,Pregnant (1st Preg Check),3,22.07.14,36.5,220.7,1222,417,0,0,791,1236,1273,1177,1222,417,0,0,0,0,2nd Pregn. Check,-,1,22.07.14,-,362,2648,-,Female,-,157,Mar,22.03.08,-
927,-,12,11,22.08.10,2,Female,0,22.07.27,Holstein,14564,1,104,-,20.05.06,2.3,27.2,828,12,Bred,1,-,45.5,247.6,1405,459,0,0,0,9,1089,1403,1405,459,0,0,0,0,Inseminate,-,0,-,-,365,2785,-,Female,-,104,Apr,22.04.30,-
928,-,13,12,22.08.10,2,Female,0,22.06.27,Holstein,2370,1,155,-,20.05.07,2.3,27.2,827,13,Pregnant (1st Preg Check),3,22.08.06,32.6,190.4,1031,354,0,0,591,1116,1135,1064,1031,354,0,0,0,0,2nd Pregn. Check,-,1,22.08.06,-,386,12922,-,Male,-,155,Mar,22.03.10,Easy
929,-,12,11,22.07.13,30,Female,0,22.06.29,Holstein,103,1,137,-,20.05.07,2.3,27.2,827,12,Pregnant (1st Preg Check),3,22.08.06,39.1,224.1,1183,422,0,0,98,1085,1219,1204,1183,422,0,0,0,0,2nd Pregn. Check,-,1,22.08.06,-,370,-,-,-,-,137,Mar,22.03.28,-
931,-,192,190,22.03.08,157,Female,0,21.06.15,Holstein,-,0,-,Yes,20.05.08,2.3,27.1,826,192,"Cull, Not Pregnant",1,21.09.11,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inseminate,-,0,21.09.11,22.03.08,-,-,-,-,-,0,-,-,-
932,-,192,190,22.03.08,157,Female,0,21.06.16,Holstein,-,0,-,Yes,20.05.08,2.3,27.1,826,192,"Cull, Not Pregnant",1,21.09.11,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inseminate,-,0,21.09.11,22.03.08,-,-,-,-,-,0,-,-,-
933,-,12,11,22.08.06,6,Female,0,22.07.13,Holstein,5602,1,116,-,20.05.08,2.3,27.1,826,12,Bred,1,-,34.3,208.9,1089,392,0,0,0,367,1053,1084,1089,392,0,0,0,0,Inseminate,-,0,-,-,363,2747,-,Female,-,116,Apr,22.04.18,-
934,-,13,12,22.08.10,2,Female,0,22.07.22,Holstein,5412,1,148,-,20.05.09,2.3,27.1,825,13,Bred,1,-,33.6,203.9,1119,380,0,0,321,1074,1184,1123,1119,380,0,0,0,0,Inseminate,-,0,-,-,404,12940,-,Male,-,148,Mar,22.03.17,Hard
935,-,192,190,22.03.08,157,Female,0,21.06.16,Holstein,-,0,-,Yes,20.05.09,2.3,27.1,825,192,"Cull, Not Pregnant",1,21.09.11,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inseminate,-,0,21.09.11,22.03.08,-,-,-,-,-,0,-,-,-
936,-,12,11,22.08.06,6,Female,0,22.06.01,Holstein,2364,1,127,-,20.05.09,2.3,27.1,825,12,Pregnant (1st Preg Check),3,22.07.14,42.2,230.2,1307,440,0,0,0,869,1370,1291,1307,440,0,0,0,0,2nd Pregn. Check,-,1,22.07.14,-,332,13004,-,Male,-,127,Apr,22.04.07,Easy
937,-,13,12,22.08.10,2,Female,0,22.05.20,Holstein,8467,1,146,-,20.05.10,2.3,27.1,824,13,Pregnant (1st Preg Check),3,22.07.04,30.2,187.8,943,352,0,0,246,870,904,934,943,352,0,0,0,0,2nd Pregn. Check,-,1,22.07.04,-,339,12943,-,Male,-,146,Mar,22.03.19,-
938,-,13,12,22.08.10,2,Female,0,22.08.03,Holstein,2445,1,158,-,20.05.11,2.3,27,823,13,Bred,1,22.07.14,30.3,196.6,988,352,0,0,575,1015,858,943,988,352,0,0,0,0,Inseminate,-,0,22.07.14,-,426,2647,-,Female,-,158,Mar,22.03.07,-
940,-,13,12,22.08.10,2,Female,0,22.06.28,Holstein,1896,1,150,-,20.05.11,2.3,27,823,13,Open,1,22.08.06,14.8,105.7,883,227,0,0,378,897,814,851,883,227,0,0,0,0,Inseminate,-,0,22.08.06,-,382,2663,-,Female,-,150,Mar,22.03.15,Easy
941,-,110,111,22.07.21,22,Female,179,22.02.14,Holstein,-,0,-,-,20.05.11,2.3,27,823,110,Pregnant,5,22.05.30,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conf. Step  Up,Yes,2,22.05.30,-,-,-,-,-,-,0,-,-,-
942,-,192,190,22.03.08,157,Female,0,21.06.15,Holstein,-,0,-,Yes,20.05.09,2.3,27.1,825,192,"Cull, Not Pregnant",1,21.09.11,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inseminate,-,0,21.09.11,22.03.08,-,-,-,-,-,0,-,-,-
943,-,11,10,22.07.13,30,Female,0,22.07.22,Holstein,5758,1,86,-,20.05.13,2.2,27,821,11,Bred,1,21.11.27,33.7,193.5,1058,357,0,0,0,0,333,1034,1058,357,0,0,0,0,Inseminate,-,0,21.11.27,-,342,2816,-,Female,-,86,May,22.05.18,Easy
944,-,11,10,22.08.10,2,Female,0,-,Holstein,4279,1,56,-,20.05.13,2.2,27,821,11,Fresh,1,-,21.7,125.7,540,232,0,0,0,0,0,130,540,232,0,0,0,0,Inseminate,-,0,-,22.06.21,-,-,-,-,-,56,Jun,22.06.17,-
945,-,11,10,22.08.10,2,Female,0,-,Holstein,4840,1,51,-,20.05.13,2.2,27,821,11,Fresh,1,-,37,246.7,1168,433,0,0,0,0,0,243,1168,433,0,0,0,0,Inseminate,-,0,-,-,-,2890,-,Female,-,51,Jun,22.06.22,Easy
946,-,12,11,22.08.06,6,Female,0,22.07.06,Holstein,7500,1,127,-,20.05.14,2.2,26.9,820,12,Bred,2,-,44.1,237.6,1308,447,0,0,0,709,1202,1262,1308,447,0,0,0,0,Pregn. Check,-,0,-,-,367,13005,-,Male,-,127,Apr,22.04.07,Easy
947,-,11,10,22.08.10,2,Female,0,-,Holstein,2338,1,51,-,20.05.14,2.2,26.9,820,11,Fresh,1,-,40.7,243.7,1152,433,0,0,0,0,0,229,1152,433,0,0,0,0,Inseminate,-,0,-,-,-,13218,-,Male,-,51,Jun,22.06.22,Easy
949,-,12,11,22.07.13,30,Female,0,22.08.03,Holstein,7465,1,133,-,20.05.03,2.3,27.3,831,12,Bred,1,22.07.11,37.9,231.9,1197,428,0,0,0,993,1208,1203,1197,428,0,0,0,0,Inseminate,-,0,22.07.11,-,401,2700,-,Female,-,133,Apr,22.04.01,Easy
950,-,12,11,22.08.10,2,Female,0,22.07.27,Holstein,2779,1,104,-,20.05.04,2.3,27.3,830,12,Bred,1,-,31.3,183.9,938,342,0,0,0,9,777,899,938,342,0,0,0,0,Inseminate,-,0,-,-,365,2784,-,Female,-,104,Apr,22.04.30,-
952,-,192,85,22.03.09,156,Female,0,21.06.15,Holstein,-,0,-,Yes,20.05.17,2.2,26.8,817,192,"Cull, Not Pregnant",1,22.03.09,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inseminate,-,0,22.03.09,-,-,-,-,-,-,0,-,-,-
953,-,110,111,22.07.21,22,Female,135,22.03.30,Holstein,-,0,-,-,20.05.17,2.2,26.8,817,110,Pregnant,5,22.06.20,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conf. Step  Up,Yes,2,22.06.20,21.11.01,-,-,-,-,-,0,-,-,-
954,-,12,11,22.08.10,2,Female,0,22.07.30,Holstein,6636,1,113,-,20.05.17,2.2,26.8,817,12,Bred,1,-,36.8,217.4,1154,411,0,0,0,278,1174,1200,1154,411,0,0,0,0,Inseminate,-,0,-,-,377,13043,-,Male,-,113,Apr,22.04.21,-
955,-,12,11,22.07.13,30,Female,0,22.06.29,Holstein,995,1,137,-,20.05.17,2.2,26.8,817,12,Open,1,22.08.10,37.5,228.9,1165,408,0,0,57,953,1118,1094,1165,408,0,0,0,0,Inseminate,-,0,22.08.10,-,370,-,-,-,-,137,Mar,22.03.28,-
956,-,10,20,22.08.10,2,Female,0,-,Holstein,248,1,8,-,20.05.17,2.2,26.8,817,10,Fresh,0,-,24.8,121.4,0,125,0,0,0,0,0,0,0,125,0,0,0,0,Report Heat,-,0,-,-,-,3009,-,Female,-,8,Aug,22.08.04,Easy
957,-,192,190,22.03.08,157,Female,0,21.06.12,Holstein,-,0,-,Yes,20.05.18,2.2,26.8,816,192,"Cull, Not Pregnant",1,21.09.11,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inseminate,-,0,21.09.11,22.03.08,-,-,-,-,-,0,-,-,-
958,-,12,11,22.07.13,30,Female,0,22.06.10,Holstein,5085,1,133,-,20.05.18,2.2,26.8,816,12,Pregnant (1st Preg Check),3,22.07.14,34.3,190.6,971,352,0,0,0,793,1035,995,971,352,0,0,0,0,2nd Pregn. Check,-,1,22.07.14,-,347,-,-,-,-,133,Apr,22.04.01,-
959,-,13,12,22.08.10,2,Female,0,22.08.10,Holstein,1053,1,148,-,20.05.18,2.2,26.8,816,13,Bred,1,-,34.3,207.9,1147,391,0,0,355,1070,1186,1140,1147,391,0,0,0,0,Inseminate,-,0,-,-,423,12937,-,Male,-,148,Mar,22.03.17,Hard
960,-,12,11,22.07.13,30,Female,0,22.08.01,Holstein,6802,1,132,-,20.05.19,2.2,26.8,815,12,Bred,1,22.08.01,31.4,197,1079,367,0,0,0,913,1164,1131,1079,367,0,0,0,0,Inseminate,-,0,22.08.01,-,398,2702,-,Female,-,132,Apr,22.04.02,-
961,-,13,12,22.08.10,2,Female,0,22.07.12,Holstein,7970,1,148,-,20.05.19,2.2,26.8,815,13,Bred,1,22.06.18,34.8,210.1,1129,387,0,0,294,1020,1158,1078,1129,387,0,0,0,0,Inseminate,-,0,22.06.18,-,394,2670,-,Female,-,148,Mar,22.03.17,Easy
962,-,70,13,22.08.11,1,Female,0,22.08.01,Holstein,4248,1,143,-,20.05.20,2.2,26.7,814,70,Bred,1,22.07.30,19.9,170.9,1011,333,0,0,226,998,1056,1008,1011,333,0,0,0,0,Inseminate,-,0,22.07.30,-,409,2681,-,Female,-,143,Mar,22.03.22,Easy
