Cow No.,Cow Name,Group No.,Previous Group No.,Group Change Date,Days Since Group Change,Sex,Days In Pregnancy,Insem Date,Breed,Transp. No.,No. of Lact.,Days In Milk,Cull flagged,Birth Date,Age Years,Age Months,Age Days,Group No.,Breeding Status,Breeding State (Code),Preg Check Date,Tot. Milk Yest.,Yield This Week ,Milk Last Month,Milk This Month,Monthly Milk Jan,Monthly Milk Feb,Monthly Milk Mar,Monthly Milk April,Monthly Milk May,Monthly Milk June,Monthly Milk July,Monthly Milk Aug,Monthly Milk Sept,Monthly Milk Oct,Monthly Milk Nov,Monthly Milk Dec,Breeding State,Pregnant,Preg. Check Count,Preg Check Date,Abortion Date,Calving Interval,Number Calf 1,Number Calf 2,Sex Calf 1,Sex Calf 2,Days Since Calving,Last Calving Month,Calved Date,Delivery
5608,-,199,190,22.08.02,10,Female,0,-,Holstein,-,7,120,Yes,13.12.09,8.7,104.1,3168,199,"Cull, Not Pregnant",1,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inseminate,-,0,-,-,-,2738,-,Female,-,120,Apr,22.04.14,Hard
5610,-,7,6,22.07.20,23,Female,114,22.04.20,Holstein,2493,7,339,-,13.12.10,8.7,104,3167,7,Pregnant,4,22.07.16,13.8,67.9,532,137,1045,787,893,893,857,722,532,137,925,1316,1193,1118,Conf. Dry Off,Yes,2,22.07.16,-,502,2164,-,Female,-,339,Sep,21.09.07,Easy
5615,-,4,3,22.07.31,12,Female,161,22.03.04,Holstein,4338,7,274,-,13.12.14,8.7,103.9,3163,4,Pregnant,4,22.05.30,23.2,145.4,920,283,1267,982,1080,1088,1068,939,920,283,328,0,635,1376,Conf. Dry Off,Yes,2,22.05.30,-,390,2348,-,Female,-,274,Nov,21.11.11,-
5617,-,50,7,22.08.11,1,Female,215,22.01.09,Holstein,11838,6,273,-,13.12.16,8.7,103.9,3161,50,Pregnant,4,22.04.04,19.7,140.8,1206,285,1618,1320,1479,1441,1568,1371,1206,285,4,0,721,1648,Conf. Dry Off,Yes,2,22.04.04,-,335,2351,-,Female,-,273,Nov,21.11.12,Easy
5620,-,5,4,22.07.31,12,Female,0,22.07.28,Holstein,16235,6,313,-,13.12.19,8.6,103.8,3158,5,Bred,1,22.06.10,34,199.8,1150,371,1477,1132,1326,1316,1189,1153,1150,371,0,1067,1523,1593,Inseminate,-,0,22.06.10,-,575,12461,-,Male,-,313,Oct,21.10.03,Hard
5629,-,5,4,22.07.31,12,Female,193,22.01.31,Holstein,2570,6,298,-,13.12.27,8.6,103.5,3150,5,Pregnant,4,22.05.02,27.5,161,953,305,1285,1112,1206,1127,1121,1019,953,305,0,311,1163,1379,Conf. Dry Off,Yes,2,22.05.02,-,382,2294,-,Female,-,298,Oct,21.10.18,Easy
5642,-,3,2,22.07.31,12,Female,0,22.05.18,Holstein,866,7,173,-,14.01.05,8.6,103.2,3141,3,Open,1,22.07.04,30.7,188.7,1104,358,0,288,1438,1509,1389,1161,1104,358,1024,879,763,265,Inseminate,-,0,22.07.04,-,364,2615,-,Female,-,173,Feb,22.02.20,-
5650,-,3,70,22.08.09,3,Female,0,22.08.02,Holstein,9956,7,158,-,14.01.09,8.6,103.1,3137,3,Bred,1,-,19.1,83.4,514,183,0,0,829,1147,941,870,514,183,927,847,764,602,Inseminate,-,0,-,-,425,12917,-,Male,-,158,Mar,22.03.07,-
5658,-,5,4,22.07.31,12,Female,0,22.06.26,Holstein,3531,6,317,-,14.01.15,8.6,102.9,3131,5,Pregnant (1st Preg Check),3,22.08.06,29.9,181,1026,330,1249,901,932,1114,1139,1040,1026,330,29,1281,1408,1437,2nd Pregn. Check,-,1,22.08.06,-,547,2231,-,Female,-,317,Sep,21.09.29,-
5664,-,5,4,22.07.31,12,Female,188,22.02.05,Holstein,6053,6,300,-,14.01.20,8.6,102.7,3126,5,Pregnant,4,22.05.02,31.8,185.8,1172,362,1515,1286,1445,1420,1403,1205,1172,362,0,582,1525,1583,Conf. Dry Off,Yes,2,22.05.02,-,389,12501,-,Male,-,300,Oct,21.10.16,-
5666,-,199,190,22.02.01,192,Female,0,21.02.03,Holstein,-,4,1006,Yes,14.01.20,8.6,102.7,3126,199,"Cull, Not Pregnant",1,20.11.18,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inseminate,-,0,20.11.18,-,728,573,-,Female,-,1006,Nov,19.11.10,Hard
5667,-,80,75,22.08.02,10,Female,257,21.11.28,Holstein,7053,7,282,-,14.01.20,8.6,102.7,3126,80,"Pregnant, Dry",5,22.02.21,-,-,16,0,1634,1434,1505,1386,1239,762,16,0,257,1534,1683,1658,Conf. Step  Up,Yes,2,22.02.21,-,343,12413,-,Male,-,323,Sep,21.09.23,Easy
5671,-,3,2,22.07.31,12,Female,0,22.06.13,Holstein,3791,6,158,-,14.01.26,8.5,102.5,3120,3,Pregnant (1st Preg Check),3,22.07.23,36.8,237.9,1373,442,111,0,988,1468,1513,1423,1373,442,1103,1081,903,751,2nd Pregn. Check,-,1,22.07.23,-,375,2646,-,Female,-,158,Mar,22.03.07,-
5682,-,6,5,22.07.31,12,Female,189,22.02.04,Holstein,1366,6,414,-,14.02.06,8.5,102.1,3109,6,Pregnant,4,22.05.02,14.4,94.7,730,183,1163,1032,1037,987,975,887,730,183,1402,1315,1283,1205,Conf. Dry Off,Yes,2,22.05.02,-,502,1884,-,Female,-,414,Jun,21.06.24,Easy
5689,-,7,6,22.04.05,129,Female,173,22.02.20,Holstein,4668,4,706,-,14.02.12,8.5,101.9,3103,7,Pregnant,4,22.05.16,10.6,72.8,446,144,628,560,562,441,412,412,446,144,884,907,866,751,Conf. Dry Off,Yes,2,22.05.16,-,810,1218,-,Female,-,706,Sep,20.09.05,-
5691,-,4,3,22.07.31,12,Female,0,22.08.01,Holstein,4226,6,230,-,14.02.13,8.5,101.9,3102,4,Bred,1,22.07.11,35.2,206.7,1123,381,1429,1303,1297,1223,1260,1113,1123,381,698,311,0,175,Inseminate,-,0,22.07.11,-,496,12728,-,Male,-,230,Dec,21.12.25,Easy
5692,-,4,3,22.07.31,12,Female,0,22.08.03,Holstein,461,6,248,-,14.02.14,8.5,101.9,3101,4,Bred,1,22.07.11,31.9,195.5,1155,373,1563,1356,1485,1411,1339,1208,1155,373,734,116,0,1014,Inseminate,-,0,22.07.11,-,516,12681,-,Male,-,248,Dec,21.12.07,-
5699,-,6,5,22.07.31,12,Female,0,22.03.14,Holstein,1604,4,680,-,14.02.19,8.5,101.7,3096,6,Open,1,22.05.26,23.8,146.3,737,262,861,759,722,671,766,747,737,262,1134,1018,988,946,Inseminate,-,0,22.05.26,-,806,1331,-,Female,-,680,Oct,20.10.01,-
5701,-,1,80,22.08.09,3,Female,0,-,Holstein,9971,7,3,-,14.02.19,8.5,101.7,3096,1,Fresh,0,-,26,47,0,47,1139,973,1032,951,645,0,0,47,1200,1325,1256,1211,Report Heat,-,0,-,-,-,13384,-,Male,-,3,Aug,22.08.09,-
5716,-,3,2,22.07.31,12,Female,0,22.08.08,Holstein,1233,6,143,-,14.02.28,8.5,101.4,3087,3,Bred,1,-,43.4,247.4,1508,472,362,0,327,1535,1636,1540,1508,472,1185,1041,1051,964,Inseminate,-,0,-,-,416,12949,-,Male,-,143,Mar,22.03.22,-
5727,-,199,190,22.03.01,164,Female,0,21.10.13,Holstein,-,3,510,Yes,14.03.08,8.4,101.2,3079,199,"Cull, Not Pregnant",1,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inseminate,-,0,-,-,484,1699,1700,Female,Female,510,Mar,21.03.20,-
5738,-,5,40,22.08.01,11,Female,0,22.03.30,Holstein,4537,4,393,-,14.03.17,8.4,100.9,3070,5,Open,1,22.05.07,34.3,207.6,977,375,1232,1029,1080,1130,1102,782,977,375,1540,1427,1343,1335,Inseminate,-,0,22.05.07,-,535,1933,-,Female,-,393,Jul,21.07.15,Easy
5740,-,199,190,22.03.31,134,Female,0,22.01.11,Holstein,-,5,591,Yes,14.03.17,8.4,100.9,3070,199,"Cull, Not Pregnant",1,21.12.22,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inseminate,-,0,21.12.22,-,655,1546,-,Female,-,591,Dec,20.12.29,-
5742,-,199,190,22.03.01,164,Female,0,-,Holstein,-,5,332,Yes,14.03.18,8.4,100.8,3069,199,"Cull, Not Pregnant",1,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inseminate,-,0,-,-,-,2186,-,Female,-,332,Sep,21.09.14,-
5745,-,22,1,22.08.10,2,Female,0,-,Holstein,5990,6,25,-,14.03.20,8.4,100.8,3067,22,Fresh,0,-,36,223,440,403,1163,1000,1013,925,367,0,440,403,1305,1260,1209,1226,Report Heat,-,0,-,-,-,13289,-,Male,-,25,Jul,22.07.18,-
5748,-,4,3,22.07.31,12,Female,0,22.07.06,Holstein,1393,6,261,-,14.03.20,8.4,100.8,3067,4,Bred,2,22.07.06,40.9,237.3,1405,443,1530,1299,1349,1320,1452,1343,1405,443,937,28,213,1479,Pregn. Check,-,0,22.07.06,-,501,12645,-,Male,-,261,Nov,21.11.24,-
5749,-,22,1,22.08.10,2,Female,0,-,Holstein,6455,7,24,-,14.03.20,8.4,100.8,3067,22,Fresh,0,-,31.6,186.9,249,332,1333,1186,1344,1257,1139,421,249,332,1478,1474,1488,1536,Report Heat,-,0,-,-,-,-,-,-,-,24,Jul,22.07.19,-
5750,-,199,190,22.07.02,41,Female,0,22.03.16,Holstein,-,5,393,Yes,14.03.20,8.4,100.8,3067,199,"Cull, Not Pregnant",1,22.05.11,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inseminate,-,0,22.05.11,-,521,-,-,-,-,393,Jul,21.07.15,-
5752,-,5,4,22.07.31,12,Female,0,22.07.20,Holstein,2160,6,319,-,14.03.22,8.4,100.7,3065,5,Bred,1,22.06.27,38.6,221.3,1167,409,1498,1221,1429,1300,1171,1080,1167,409,120,1540,1707,1663,Inseminate,-,0,22.06.27,-,573,12427,-,Male,-,319,Sep,21.09.27,-
5754,-,75,50,22.08.02,10,Female,195,22.01.29,Holstein,6529,6,500,-,14.03.23,8.4,100.7,3064,75,"Pregnant, Dry",5,22.05.02,-,-,264,8,856,657,649,508,360,279,264,8,1066,1123,1034,1029,Conf. Step  Up,Yes,2,22.05.02,-,592,1696,-,Female,-,510,Mar,21.03.20,-
5765,-,5,4,22.07.31,12,Female,0,22.08.03,Holstein,959,5,286,-,14.03.28,8.4,100.5,3059,5,Bred,1,22.07.30,34.2,196.4,1092,357,1455,1149,1256,1227,1187,1131,1092,357,8,39,1426,1546,Inseminate,-,0,22.07.30,-,554,12560,-,Male,-,286,Oct,21.10.30,-
5770,-,3,2,22.07.31,12,Female,0,22.07.31,Holstein,2770,6,197,-,14.03.30,8.4,100.4,3057,3,Bred,1,-,32.7,176.8,980,340,113,1091,1303,1265,1185,1023,980,340,844,733,394,0,Inseminate,-,0,-,-,462,12799,-,Male,-,197,Jan,22.01.27,-
5780,-,22,1,22.08.04,8,Female,0,-,Holstein,2587,7,25,-,14.04.01,8.4,100.4,3055,22,Fresh,0,-,43.9,257.5,491,465,781,553,526,230,0,0,491,465,1255,1142,987,865,Report Heat,-,0,-,-,-,13291,-,Male,-,25,Jul,22.07.18,-
5785,-,4,3,22.07.31,12,Female,181,22.02.12,Holstein,7384,7,275,-,14.04.01,8.4,100.4,3055,4,Pregnant,4,22.05.16,35.5,200.3,1214,387,1515,1306,1411,1479,1298,1266,1214,387,461,0,523,1461,Conf. Dry Off,Yes,2,22.05.16,-,371,12596,-,Male,-,275,Nov,21.11.10,-
5786,-,75,50,22.07.16,27,Female,243,21.12.12,Holstein,6978,5,314,-,14.04.02,8.4,100.3,3054,75,"Pregnant, Dry",5,22.03.07,-,-,270,0,1410,1202,1277,1149,1007,802,270,0,1064,1405,1362,1333,Conf. Step  Up,Yes,2,22.03.07,-,375,12327,-,Male,-,341,Sep,21.09.05,-
5792,-,199,190,22.03.01,164,Female,0,21.11.23,Holstein,-,3,1142,Yes,14.04.04,8.4,100.3,3052,199,"Cull, Not Pregnant",1,21.09.30,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inseminate,-,0,21.09.30,21.03.02,1157,167,-,Female,-,1142,Jun,19.06.27,Easy
5794,-,3,2,22.07.31,12,Female,0,22.08.10,Holstein,3982,6,171,-,14.04.04,8.4,100.3,3052,3,Bred,1,22.05.23,52.1,282,1685,534,0,162,1562,1741,1872,1630,1685,534,1087,965,744,470,Inseminate,-,0,22.05.23,-,446,2625,-,Female,-,171,Feb,22.02.22,Easy
5795,-,199,190,22.02.01,192,Female,0,21.11.02,Holstein,-,5,554,Yes,14.04.04,8.4,100.3,3052,199,"Cull, Not Pregnant",1,21.12.09,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inseminate,-,0,21.12.09,-,548,-,-,-,-,554,Feb,21.02.04,-
5798,-,3,2,22.07.31,12,Female,0,22.06.01,Holstein,6250,6,158,-,14.04.05,8.4,100.2,3051,3,Pregnant (1st Preg Check),3,22.07.14,35.4,201.1,1052,360,0,0,857,1319,1262,1253,1052,360,698,549,340,14,2nd Pregn. Check,-,1,22.07.14,-,363,12915,-,Male,-,158,Mar,22.03.07,-
5803,-,5,4,22.07.31,12,Female,0,22.08.01,Holstein,5427,5,348,-,14.04.05,8.4,100.2,3051,5,Bred,1,22.07.07,33.2,196.7,1063,375,1652,1391,1568,1361,1378,1085,1063,375,1554,1736,1721,1713,Inseminate,-,0,22.07.07,-,614,12281,-,Male,-,348,Aug,21.08.29,-
5805,-,2,22,22.07.31,12,Female,0,22.07.27,Holstein,7000,6,101,-,14.04.06,8.4,100.2,3050,2,Bred,1,-,9.5,84.6,1761,278,980,480,0,0,1335,1799,1761,278,1315,1279,1163,1051,Inseminate,-,0,-,-,362,13086,-,Male,-,101,May,22.05.03,Hard
5807,-,4,5,22.08.10,2,Female,191,22.02.02,Holstein,4785,5,351,-,14.04.06,8.4,100.2,3050,4,Pregnant,4,22.05.02,41.3,235.4,1311,441,1540,1341,1531,1392,1455,1369,1311,441,1325,1561,1509,1602,Conf. Dry Off,Yes,2,22.05.02,-,437,2102,-,Female,-,351,Aug,21.08.26,-
5808,-,199,190,22.03.31,134,Female,0,21.12.24,Holstein,-,5,683,Yes,14.04.09,8.3,100.1,3047,199,"Cull, Not Pregnant",1,22.02.05,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inseminate,-,0,22.02.05,-,729,1324,-,Female,-,683,Sep,20.09.28,Easy
5813,-,4,3,22.07.31,12,Female,0,22.07.05,Holstein,505,6,241,-,14.04.07,8.3,100.2,3049,4,Bred,2,22.06.27,31.1,198.9,1087,358,1353,1174,1245,1171,1135,1095,1087,358,665,381,0,574,Pregn. Check,-,0,22.06.27,-,480,-,-,-,-,241,Dec,21.12.14,-
5818,-,3,2,22.07.31,12,Female,0,22.07.29,Holstein,1181,5,128,-,14.04.08,8.3,100.1,3048,3,Bred,1,-,44.6,272.2,1539,506,998,187,0,1031,1694,1595,1539,506,1324,1201,1157,1138,Inseminate,-,0,-,-,391,2715,-,Female,-,128,Apr,22.04.06,-
5820,-,70,5,22.08.08,4,Female,114,22.04.20,Holstein,5382,5,440,-,14.04.08,8.3,100.1,3048,70,Pregnant,4,22.07.16,20.5,137,1095,313,1319,1226,1244,1177,930,1017,1095,313,1694,1708,1559,1513,Conf. Dry Off,Yes,2,22.07.16,-,603,1851,-,Female,-,440,May,21.05.29,-
5821,-,6,5,22.07.31,12,Female,0,22.07.15,Holstein,7599,5,359,-,14.04.09,8.3,100.1,3047,6,Bred,1,22.05.28,25.7,170.2,1034,327,1275,1114,1166,1059,1184,1056,1034,327,1429,1241,1201,1444,Inseminate,-,0,22.05.28,-,608,12245,-,Male,-,359,Aug,21.08.18,-
5823,-,75,50,22.07.23,20,Female,232,21.12.23,Holstein,11894,5,287,-,14.04.09,8.3,100.1,3047,75,"Pregnant, Dry",5,22.03.15,-,-,505,0,1358,1183,1294,1213,1014,766,505,0,0,756,1393,1387,Conf. Step  Up,Yes,2,22.03.15,-,352,12477,-,Male,-,307,Oct,21.10.09,-
5827,-,75,50,22.08.02,10,Female,162,22.03.03,Holstein,14155,5,612,-,14.04.10,8.3,100.1,3046,75,"Pregnant, Dry",5,22.06.20,-,-,216,2,764,620,530,361,289,255,216,2,1286,1167,1069,938,Conf. Step  Up,Yes,2,22.06.20,-,737,-,-,-,-,622,Nov,20.11.28,-
5830,-,5,4,22.07.31,12,Female,0,22.08.10,Holstein,9550,6,315,-,14.04.11,8.3,100,3045,5,Bred,1,22.08.06,30.8,186.8,1091,362,1372,1211,1291,1226,1189,1118,1091,362,0,1113,1353,1408,Inseminate,-,0,22.08.06,-,590,12450,-,Male,-,315,Oct,21.10.01,Easy
5835,-,4,3,22.07.31,12,Female,0,22.07.30,Holstein,3727,5,367,-,14.04.14,8.3,99.9,3042,4,Bred,1,22.07.17,37.4,227.9,1269,439,1442,1290,1357,1328,1286,1276,1269,439,1654,1286,1533,1547,Inseminate,-,0,22.07.17,-,631,-,-,-,-,367,Aug,21.08.10,-
5842,-,199,190,22.03.01,164,Female,0,22.02.05,Holstein,-,5,451,Yes,14.04.18,8.3,99.8,3038,199,"Cull, Not Pregnant",3,22.02.03,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2nd Pregn. Check,-,0,22.02.03,-,540,12049,-,Male,-,451,May,21.05.18,Easy
5844,-,199,190,22.03.31,134,Female,0,21.12.15,Holstein,-,5,338,Yes,14.04.19,8.3,99.8,3037,199,"Cull, Not Pregnant",1,22.01.31,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inseminate,-,0,22.01.31,-,375,12364,-,Male,-,338,Sep,21.09.08,Easy
5845,-,75,50,22.08.11,1,Female,212,22.01.12,Holstein,1889,4,950,-,14.04.19,8.3,99.8,3037,75,"Pregnant, Dry",5,22.04.04,6.1,42.5,397,98,791,668,662,561,473,407,397,98,962,976,899,810,Conf. Step  Up,Yes,2,22.04.04,21.05.20,1016,711,-,Female,-,951,Jan,20.01.04,Hard
5849,-,22,1,22.08.10,2,Female,0,-,Holstein,3059,7,20,-,14.04.22,8.3,99.7,3034,22,Fresh,0,-,43.8,264,240,471,1493,1237,1164,1014,656,0,240,471,1590,1628,1589,1617,Report Heat,-,0,-,-,-,2960,-,Female,-,20,Jul,22.07.23,-
5858,-,5,1,22.08.08,4,Female,104,22.04.30,Holstein,8150,6,302,-,14.04.26,8.3,99.5,3030,5,Pregnant,4,22.08.01,19.4,128.2,520,226,1249,938,979,728,569,401,520,226,0,469,1155,1285,Conf. Dry Off,Yes,2,22.08.01,-,475,2298,-,Female,-,302,Oct,21.10.14,Easy
5861,-,190,99,22.08.08,4,Female,169,22.02.24,Holstein,-,6,309,Yes,14.04.27,8.3,99.5,3029,190,"Cull, Pregnant",4,22.05.16,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conf. Dry Off,Yes,2,22.05.16,-,417,12474,-,Male,-,309,Oct,21.10.07,Easy
5865,-,22,1,22.08.01,11,Female,0,-,Holstein,2862,6,30,-,14.04.28,8.3,99.5,3028,22,Fresh,0,-,49,277.1,668,508,1063,916,946,638,8,0,668,508,1262,1242,1145,1081,Report Heat,-,0,-,-,-,13269,-,Male,-,30,Jul,22.07.13,-
5867,-,6,5,22.07.31,12,Female,0,21.07.25,Holstein,3630,3,700,-,14.04.29,8.3,99.4,3027,6,Aborted,1,21.11.08,21.2,128.8,685,245,828,746,861,838,798,683,685,245,710,839,842,792,Inseminate,-,0,21.11.08,21.12.20,594,11356,-,Male,-,700,Sep,20.09.11,Easy
5868,-,7,5,22.08.10,2,Female,205,22.01.19,Holstein,5480,7,300,-,14.04.29,8.3,99.4,3027,7,Pregnant,4,22.04.11,28.2,174.2,1018,321,1544,1370,1486,1401,1365,1197,1018,321,0,596,1512,1638,Conf. Dry Off,Yes,2,22.04.11,-,372,2283,-,Female,-,300,Oct,21.10.16,-
5871,-,75,50,22.07.16,27,Female,248,21.12.07,Holstein,7495,6,283,-,14.04.29,8.3,99.4,3027,75,"Pregnant, Dry",5,22.02.28,-,-,255,0,1213,908,1029,990,853,703,255,0,0,1060,1461,1368,Conf. Step  Up,Yes,2,22.02.28,-,339,2249,-,Female,-,310,Oct,21.10.06,-
5873,-,199,190,22.03.01,164,Female,0,21.09.27,Holstein,-,5,614,Yes,14.04.30,8.3,99.4,3026,199,"Cull, Not Pregnant",1,21.09.29,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inseminate,-,0,21.09.29,-,572,11680,-,Male,-,614,Dec,20.12.06,Normal
5879,-,199,190,22.08.02,10,Female,0,22.05.18,Holstein,-,4,440,Yes,14.05.02,8.3,99.4,3024,199,"Cull, Not Pregnant",1,22.07.04,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inseminate,-,0,22.07.04,-,631,12065,-,Male,-,440,May,21.05.29,-
5881,-,6,5,22.07.31,12,Female,0,22.07.10,Holstein,3302,6,305,-,14.05.02,8.3,99.4,3024,6,Bred,2,22.06.18,23,134.2,818,250,1404,1164,1202,1127,1093,903,818,250,0,691,1467,1546,Pregn. Check,-,0,22.06.18,-,549,2268,-,Female,-,305,Oct,21.10.11,Easy
5882,-,75,25,22.04.24,110,Female,212,22.01.12,Holstein,10615,6,163,-,14.05.02,8.3,99.4,3024,75,"Pregnant, Dry",5,22.04.04,-,-,0,0,1209,947,937,400,0,0,0,0,187,0,517,1073,Conf. Step  Up,Yes,2,22.04.04,-,338,12606,-,Male,-,273,Nov,21.11.12,-
5890,-,4,3,22.07.31,12,Female,0,22.07.13,Holstein,7306,7,204,-,14.05.06,8.3,99.2,3020,4,Bred,1,22.06.12,30.7,188.8,1042,344,404,1303,1380,1393,1223,1091,1042,344,1230,1059,626,0,Inseminate,-,0,22.06.12,-,451,2533,-,Female,-,204,Jan,22.01.20,Easy
5892,-,5,4,22.07.31,12,Female,167,22.02.26,Holstein,14041,5,342,-,14.05.06,8.3,99.2,3020,5,Pregnant,4,22.05.30,21.3,121.2,1053,269,1450,1196,1414,1230,1300,1016,1053,269,885,1350,1441,1514,Conf. Dry Off,Yes,2,22.05.30,-,452,12325,-,Male,-,342,Sep,21.09.04,-
5895,-,4,3,22.07.31,12,Female,100,22.05.04,Holstein,5238,5,241,-,14.05.06,8.3,99.2,3020,4,Pregnant,4,22.08.01,38.7,227.5,1295,421,1449,1364,1573,1501,1397,1300,1295,421,163,0,0,716,Conf. Dry Off,Yes,2,22.08.01,-,418,12696,-,Male,-,241,Dec,21.12.14,-
5897,-,5,4,22.07.31,12,Female,0,21.11.26,Holstein,4858,4,981,-,14.05.07,8.3,99.2,3019,5,Open (Aborted),1,22.01.08,37.3,203.2,1093,381,908,704,889,1085,1079,982,1093,381,1513,1275,1148,1009,Inseminate,-,0,22.01.08,21.06.24,999,10622,-,Male,-,981,Dec,19.12.05,Easy
5909,-,22,1,22.08.01,11,Female,0,-,Holstein,1797,6,36,-,14.05.16,8.2,98.9,3010,22,Fresh,0,-,50.5,297,952,511,765,569,130,0,0,0,952,511,1120,1040,915,822,Report Heat,-,0,-,-,-,2924,-,Female,-,36,Jul,22.07.07,Easy
5911,-,199,190,22.03.01,164,Female,0,21.02.24,Holstein,-,4,938,Yes,14.05.17,8.2,98.9,3009,199,"Cull, Not Pregnant",1,21.05.21,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inseminate,-,0,21.05.21,21.07.06,681,736,-,Female,-,938,Jan,20.01.17,Hard
5912,-,6,5,22.07.31,12,Female,0,22.06.19,Holstein,5061,6,396,-,14.05.17,8.2,98.9,3009,6,Open,1,22.05.19,16.4,104.1,649,202,1041,902,918,885,846,754,649,202,1421,1337,1057,1163,Inseminate,-,0,22.05.19,-,619,1919,-,Female,-,396,Jul,21.07.12,-
5913,-,6,5,22.07.31,12,Female,0,22.07.06,Holstein,2504,5,325,-,14.05.18,8.2,98.8,3008,6,Open,1,22.05.19,21.6,137,739,250,1508,1366,1380,1283,1205,930,739,250,382,1663,1819,1601,Inseminate,-,0,22.05.19,-,565,12408,-,Male,-,325,Sep,21.09.21,Easy
5915,-,6,5,22.07.31,12,Female,0,22.01.28,Holstein,2850,5,317,-,14.05.22,8.2,98.7,3004,6,Aborted,1,22.04.18,27.2,151,762,275,1334,1106,1206,1107,736,742,762,275,36,1437,1547,1451,Inseminate,-,0,22.04.18,22.05.22,398,12436,-,Male,-,317,Sep,21.09.29,-
5916,-,3,2,22.07.31,12,Female,0,22.08.08,Holstein,233,6,190,-,14.05.22,8.2,98.7,3004,3,Bred,1,22.08.08,42.7,254.7,1462,413,0,1166,1735,1711,1763,1411,1462,413,1019,836,548,0,Inseminate,-,0,22.08.08,-,463,12826,-,Male,-,190,Feb,22.02.03,Normal
5919,-,4,3,22.07.31,12,Female,0,22.07.20,Holstein,8814,5,323,-,14.05.26,8.2,98.6,3000,4,Bred,1,22.06.27,40.2,238.4,1384,428,1786,1563,1751,1649,1562,1419,1384,428,245,1626,1861,1884,Inseminate,-,0,22.06.27,-,577,12414,-,Male,-,323,Sep,21.09.23,Easy
